New York Energy Consumption Estimates 2017
https://www.eia.gov/state/?sid=NY
09:57:59 GMT-0500 (Eastern Standard Time)
Source: Energy Information Administration, State Energy Data System
Category,New York Energy Consumption Estimates Trillion Btu
Coal,19.6
Natural Gas,1276.9
Motor Gasoline excl. Ethanol,641.4
Distillate Fuel Oil,324
Jet Fuel,196.9
HGL,32.5
Residual Fuel,32.7
Other Petroleum,63.1
Nuclear Electric Power,441
Hydroelectric Power,277.7
Biomass,153
Other Renewables,53.2
Net Electricity Imports,56.1
Net Interstate Flow of Electricity,112.8
